,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all_year
831,"('実情', 60.400000075966446)","('特例', 47.0145858577802)","('残り', 51.83438926016929)","('再編', 47.3969949327643)","('解除', 57.496050758921434)","('需要', 50.83019356307879)","('指針', 38.6267345317422)","('地デジ', 39.54745529590156)","('一元化', 38.31476820666158)","('建物', 46.00452361128261)","('賃金', 37.9640074884614)","('ニーズ', 50.016508657905206)","('実質', 57.339397286412364)","('政党', 52.04101713046087)","('環境大臣', 50.09755593208187)","('第三者', 47.79175838912094)","('見込み', 56.65845300463552)","('再開', 48.64203690149247)","('収束', 44.418067390064856)","('組織委員会', 46.39259667236962)","('ケア', 27.14027692328842)","('部門', 971.0630580152651)"
832,"('国交', 60.35517048671597)","('実効性', 46.99899921971744)","('感染', 51.79853952944906)","('四つ', 47.36033515063227)","('受けて', 57.48784956732035)","('原子力', 50.8016040610757)","('トップ', 38.62530590875618)","('農林水産省', 39.5433539839306)","('市民', 38.29614478629178)","('拠点', 45.99974718355727)","('一条', 37.934542858478935)","('立法府', 49.91379919016866)","('サポート', 57.32858324725719)","('聴取', 51.76152512081311)","('就労', 50.002472001074835)","('賠償', 47.68247537069018)","('書類', 56.65100381204865)","('いって', 48.63974173374682)","('支払い', 44.40295812774764)","('保険', 46.34408193724341)","('コメント', 27.125474099220018)","('gdp', 969.2413529980321)"
833,"('談合', 60.3467799836911)","('閣議決定', 46.96477759391466)","('積立', 51.60582905811793)","('真剣', 47.320578325238706)","('豊か', 57.409518815128905)","('政府参考人', 50.79491049700421)","('論文', 38.62198174517714)","('裁判官', 39.528179370746024)","('モデル', 38.271438465800834)","('関心', 45.97334837706174)","('工事', 37.93063790604525)","('研究開発', 49.829343515805945)","('予測', 57.25339639421535)","('男性', 51.75646424093951)","('閣議決定', 49.99303837627537)","('養成', 47.67069815329547)","('本省', 56.53091431036134)","('解明', 48.62471557494684)","('裁判', 44.355546581708886)","('ヒアリング', 46.335615233110886)","('支出', 27.024389857449236)","('職務', 966.7687103261449)"
834,"('正常化', 60.24234236049567)","('資本', 46.90908495262396)","('強制', 51.59368197626589)","('インターネット', 47.31076480693048)","('療養', 57.384405790956976)","('司法', 50.759501648946845)","('記載', 38.60966914226934)","('手当て', 39.48494709838973)","('イギリス', 38.26935530841503)","('復興債', 45.9672516476909)","('いって', 37.91768070869024)","('東北', 49.79915928342433)","('支払', 57.23346469533501)","('独立行政法人', 51.716644530110955)","('給料', 49.945289969191)","('会い', 47.61506471878449)","('保障', 56.469498151879534)","('it', 48.60992462557112)","('方式', 44.31273064402449)","('食料', 46.23218750470025)","('アクセス', 27.013080642960293)","('予防', 965.4963085738225)"
835,"('議会', 60.23941647807761)","('あいまい', 46.842395028259425)","('発想', 51.59153648827155)","('輸出', 47.28156841154198)","('矛盾', 57.37722278879678)","('構成', 50.670665753500316)","('確実', 38.59810900220505)","('解雇', 39.47883968393638)","('追及', 38.24492479406581)","('検察', 45.93701656581065)","('海上保安庁', 37.89620405028057)","('申しわけ', 49.75070397375522)","('支給', 57.189419038628984)","('優先', 51.683110051834454)","('問題意識', 49.93547169402668)","('奨学金', 47.60670114649794)","('ないじゃないですか', 56.414094082027844)","('確実', 48.57381105847541)","('流通', 44.297900779268424)","('相手', 46.23020177178226)","('福祉', 26.991225892564543)","('訪問', 962.6106916522452)"
836,"('東京都', 60.21701171658834)","('予想', 46.77328789585953)","('感覚', 51.566344099617666)","('広報', 47.25132123665709)","('配分', 57.35998518590847)","('用意', 50.670232791592014)","('死亡', 38.55676320658962)","('残り', 39.42249977071308)","('実質', 38.226951337440596)","('文化', 45.855216285465815)","('監督', 37.891994194042)","('精神', 49.7487814710175)","('津波', 57.16899629768739)","('勧告', 51.56289408655303)","('記憶', 49.808213394735105)","('警察庁', 47.551418839920785)","('表明', 56.247178479173705)","('農林水産省', 48.56912373358021)","('更新', 44.29501171169319)","('まん延', 46.22713712375044)","('生産者', 26.989348252030158)","('価値', 962.5258949071838)"
837,"('発電', 60.18313775828823)","('検察官', 46.733382559400965)","('登記', 51.43426291421153)","('価値', 47.13179459327319)","('定員', 57.31075830766136)","('平和', 50.63585716661275)","('許可', 38.51020957161369)","('相談員', 39.385448048002274)","('通常', 38.20486054157175)","('交流', 45.81388585875902)","('議員立法', 37.85297331617137)","('原子力規制委員会', 49.73340396805994)","('オーストラリア', 57.11520783462534)","('非正規', 51.47680524476236)","('援助', 49.67185953782978)","('規制緩和', 47.54677236861301)","('融資', 56.121378629921956)","('プラン', 48.54139255715438)","('成長', 44.1781744274483)","('福祉', 46.12461490183514)","('関与', 26.98608618581481)","('撤回', 961.9093293079552)"
838,"('二次', 60.13580891799842)","('性格', 46.645673352504126)","('主体', 51.33833590196072)","('議事録', 47.102942571665494)","('npo', 57.300809871469035)","('公的', 50.61886912118859)","('バイ', 38.5100167274427)","('勤務', 39.38399042518687)","('通常国会', 38.169248864211234)","('独自', 45.79990818048681)","('プロセス', 37.75613976239108)","('このまま', 49.69794389204799)","('制約', 57.07297419275265)","('補償', 51.38489848122709)","('啓発', 49.59964478819069)","('総裁', 47.535521182601954)","('業種', 56.08810134941136)","('軽減税率', 48.48265805115974)","('差別', 44.17188536352802)","('低下', 46.07357688449006)","('引上げ', 26.974870865906542)","('差別', 960.8373249968367)"
839,"('基盤', 60.13283077877803)","('監査', 46.62197961442028)","('フランス', 51.325977228579134)","('グループ', 47.098224687939705)","('病床', 57.287028815397875)","('配置', 50.43554383435375)","('先進国', 38.40942853774288)","('製造', 39.33886121454389)","('高校無償化', 38.14775206095528)","('要因', 45.78480969570063)","('監視', 37.74043499688347)","('用意', 49.64829156723815)","('高速道路', 57.050476822403475)","('地方公共団体', 51.306573592096015)","('治療', 49.578082723684595)","('福島県', 47.45293424301078)","('男性', 56.0079766206195)","('届出', 48.23439114802993)","('ヒアリング', 44.16684327603739)","('確実', 46.04047799231953)","('関心', 26.974687836055313)","('実効性', 960.6488883385231)"
840,"('医療機関', 60.081815182867444)","('開始', 46.60876847305565)","('九条', 51.29985409580003)","('独自', 46.95975890481814)","('間接差別', 57.2828926620534)","('議事録', 50.3740367283836)","('発想', 38.27751772054188)","('拒否', 39.272364276632615)","('地震', 38.099289059385896)","('出身', 45.73981057602866)","('案件', 37.68755836533531)","('解雇', 49.587043471935104)","('予想', 57.03003440106346)","('漏えい', 51.256155622408194)","('いって', 49.571768790997645)","('撤回', 47.4195223492039)","('指名', 55.904563826449795)","('不明', 48.224386421928074)","('総理大臣', 44.113167830115195)","('多様', 45.97525467760378)","('メール', 26.949303092210116)","('活躍', 960.0277341347012)"
841,"('事実関係', 60.01207726521944)","('おつもり', 46.567729888266186)","('全頭検査', 51.212561124299675)","('防災', 46.91700444132633)","('景気', 57.24089953593025)","('治安', 50.337609539564404)","('都市', 38.23659131288366)","('逮捕', 39.246392911189226)","('増税', 38.031261736647664)","('公的', 45.72080221055761)","('国民会議', 37.67208387619348)","('定数', 49.53530669408904)","('警察庁', 56.932879441253576)","('受けて', 51.25401223690656)","('定員', 49.53962099713861)","('イギリス', 47.30414308101815)","('知見', 55.89880145246755)","('日本語', 48.19427109641959)","('強靱', 44.06231315053115)","('競争', 45.91875679279609)","('当たり前', 26.933280976046007)","('区域', 956.805696871328)"
842,"('加入', 59.988636172397555)","('政府参考人', 46.55917418033003)","('指揮', 51.18920639701406)","('つまり', 46.91080953914235)","('構想', 57.22338006585742)","('何回', 50.304018303525126)","('案件', 38.206386788577106)","('速やか', 39.244195260431894)","('不十分', 37.99858387028398)","('政令', 45.600705732888514)","('区域', 37.61228884316803)","('救済', 49.472701006222486)","('銀行', 56.821002186079504)","('発電', 51.10297006295092)","('運転', 49.42435424279336)","('事業所', 47.21896449279597)","('料金', 55.81666086293981)","('戸籍', 48.1772831108148)","('基地', 44.04880396032161)","('出て', 45.84497716671064)","('比率', 26.8520244801814)","('論点', 956.7893560664571)"
843,"('工夫', 59.94559315901367)","('自然', 46.52965723324304)","('低下', 51.01805318581804)","('料金', 46.89352443343675)","('借金', 57.13453654906587)","('閣議決定', 50.200550294871164)","('何回', 38.15031778426133)","('臓器提供', 39.23992042423153)","('千円', 37.94124973831937)","('条文', 45.59225128486196)","('スケジュール', 37.604351872117405)","('個人情報', 49.26645366790046)","('自立', 56.732301162667056)","('速やか', 51.08215726292677)","('言及', 49.34160858023418)","('分科会', 47.211226072081075)","('公共', 55.70899604899095)","('子ども', 48.14033021582505)","('放出', 44.0153596716395)","('発令', 45.75282746401767)","('勤務', 26.830950335080775)","('計上', 954.7887508337661)"
844,"('空港', 59.83930449236547)","('命令', 46.47133018529652)","('重要性', 50.848332581337644)","('交流', 46.890444354497035)","('調達', 57.017576802255974)","('締結', 50.179752837546246)","('暫定', 38.14815806210934)","('話題', 39.21149671157028)","('ロシア', 37.89430802207961)","('知恵', 45.553751096380225)","('話題', 37.56298937717215)","('取材', 49.25824169227252)","('加速', 56.7291084526428)","('緊急', 50.98157724162142)","('討論', 49.339650678234996)","('就職', 47.199505674525604)","('意図', 55.65720870944452)","('担い手', 48.1071099646942)","('課税', 43.95642549188783)","('育休', 45.7106963508636)","('既存', 26.81298617065856)","('同僚', 954.2741568961036)"
845,"('総括', 59.826935426987994)","('河川', 46.32369213469702)","('条項', 50.83784072864804)","('当該', 46.83114525024136)","('このまま', 56.96903088283723)","('官僚', 50.13896838660175)","('内部', 38.14656363074609)","('放送', 39.09747046654974)","('市長', 37.87227137628839)","('仕分', 45.55313385373258)","('保証', 37.56257467704741)","('記録', 49.2571237622631)","('政党', 56.66810885070988)","('刑事', 50.95483154331534)","('高校', 49.322984133847505)","('被災者', 47.18909017798633)","('野村不動産', 55.646646761624666)","('部長', 48.09444853366533)","('抑制', 43.89421290793265)","('水際対策', 45.54740173745134)","('返還', 26.801125154973885)","('修正案', 952.9029211615158)"
846,"('担当大臣', 59.78870064270277)","('インターネット', 46.278187241854816)","('部長', 50.829497522190216)","('手数料', 46.78240929103085)","('物件', 56.905067885603465)","('報酬', 50.101871699904365)","('携帯電話', 38.08500875450458)","('一致', 39.078297752806)","('法的', 37.85387743353647)","('過程', 45.520653476985785)","('活性化', 37.5384407477109)","('本部', 49.25243575690746)","('安保法制懇', 56.559144504527744)","('農水', 50.950091198170824)","('教訓', 49.29115748687618)","('選択', 47.17571497029754)","('経済産業省', 55.55523130044865)","('警察庁', 48.08357720803435)","('生産者', 43.8908221426811)","('該当', 45.485360279871145)","('高校', 26.79801537021396)","('矛盾', 951.8587361385883)"
847,"('事実上', 59.566582963578256)","('創設', 46.26764036926893)","('建物', 50.820855174569)","('eu', 46.77860759651481)","('附帯決議', 56.883102937958064)","('番組', 50.02930742443265)","('漁船', 38.00653644355782)","('面積', 39.06747359367592)","('言及', 37.81246160717006)","('基盤', 45.46209750300481)","('協定', 37.43010722154061)","('プロセス', 49.24292102140066)","('答え', 56.379145831719526)","('高度', 50.91750470623799)","('加速', 49.21604228076133)","('該当', 47.024850811224496)","('財産', 55.462015643623765)","('厚生労働大臣', 48.07066090656357)","('小学校', 43.81926515151113)","('職場', 45.41408441767453)","('定員', 26.692609559639518)","('精神', 951.2903585710797)"
848,"('政党', 59.54352888626657)","('通常', 46.2016116684362)","('要因', 50.76849946623238)","('責務', 46.75972105187685)","('協議会', 56.869980806407625)","('証明', 49.95692419549229)","('駄目', 37.97459399762098)","('抑制', 39.05447796543869)","('配付', 37.78529506965472)","('実績', 45.34921355861819)","('中間', 37.331271691934745)","('計上', 49.209700180581116)","('税率', 56.331723436939235)","('冤罪', 50.864783824328306)","('部門', 49.16349208593544)","('訴訟', 47.01728364254813)","('法令', 55.46011268105832)","('一連', 48.00915990780702)","('実質', 43.81188679140679)","('水素', 45.29950495332022)","('co2', 26.616280303204444)","('商品', 950.8225152551878)"
849,"('うそ', 59.48336532984335)","('増税', 46.20143334508657)","('人々', 50.76145946963832)","('国家公務員', 46.72134450765619)","('人事院', 56.82558080884898)","('緩和', 49.94910461814507)","('もっともっと', 37.965545879559244)","('廃棄', 38.975102947444846)","('共有', 37.78076956516566)","('印象', 45.217966507644775)","('文化', 37.25266842654999)","('正確', 49.079451115531384)","('元気', 56.31200944155819)","('選挙権', 50.825372222378164)","('リニア', 49.149753563165405)","('申しわけ', 47.01017399012079)","('会派', 55.45960532057332)","('各国', 48.007216611968474)","('明記', 43.78435867379417)","('現地', 45.2776457790873)","('宣言', 26.583010171155678)","('就任', 949.6400760277795)"
850,"('た方', 59.40947398786264)","('電力', 46.19482757339796)","('基金', 50.72420471282047)","('独立行政法人', 46.63491064386588)","('基金', 56.74556612278466)","('実質', 49.92652667129525)","('勧告', 37.90873072154181)","('平和', 38.95636875710904)","('医師', 37.742767000661956)","('承認', 45.21167815587914)","('人員', 37.25090521111201)","('附帯決議', 49.044517492079294)","('示し', 56.30279621175107)","('学生', 50.80673246045586)","('当局', 49.115004789229744)","('貢献', 46.95276944862377)","('罰則', 55.40256129007439)","('自動運転', 47.99781050099763)","('話題', 43.728946505461984)","('拒否', 45.25422787494425)","('特許', 26.562205327942877)","('移動', 948.9092495987568)"
851,"('現時点', 59.395447055370646)","('誤解', 46.093838508523405)","('取得', 50.7099027917372)","('治安', 46.62984344185677)","('拝見', 56.73808224790651)","('論議', 49.836456976156036)","('確定', 37.85235124264824)","('同僚', 38.93851496145884)","('お子さん', 37.724329645489625)","('記録', 45.1321901132104)","('過程', 37.22273710540625)","('重要性', 49.0430017111355)","('資源', 56.28516544750333)","('市民', 50.767981773929954)","('憲法改正', 48.974583614550674)","('面積', 46.940798029408946)","('確実', 55.39649273888466)","('いか', 47.845358851728214)","('発出', 43.7149238377649)","('討論', 45.244306372027054)","('指名', 26.53064355691079)","('協会', 948.495617139292)"
852,"('ユーザー', 59.3383858422077)","('知事', 46.069280552830186)","('メンバー', 50.653538590491394)","('年度', 46.57012351350849)","('何回', 56.653964217839544)","('政権', 49.81484353766787)","('確立', 37.82686805118922)","('期限', 38.90631781252647)","('受けて', 37.72105016809082)","('議員立法', 45.105605754901944)","('発議', 37.14280608695179)","('危惧', 49.039808125597006)","('文言', 56.28331975731497)","('子育て', 50.725702963085006)","('与野党', 48.96968187031627)","('新規', 46.92810611407318)","('実効性', 55.17808739770962)","('観光', 47.770246381752514)","('和牛', 43.68225110755663)","('振興', 45.221081060306574)","('支援策', 26.523869306011278)","('東京都', 947.7577014761869)"
853,"('不況', 59.24848982068902)","('そうじゃない', 46.0605205756899)","('案件', 50.52565156641827)","('論点', 46.525371894136754)","('知識', 56.56708976541873)","('フランス', 49.79003358394667)","('二つ目', 37.79435656039506)","('行使', 38.84934455324751)","('討論', 37.72022888025741)","('破綻', 45.004977043436504)","('単位', 37.10361106206732)","('基盤', 49.028388869267275)","('完全', 56.19565207846343)","('決断', 50.687289391531756)","('算定', 48.89619778477635)","('ないじゃないですか', 46.8630262184358)","('大幅', 55.159765267681756)","('問題点', 47.770105211749815)","('減税', 43.641842928155654)","('現役', 45.13491551701049)","('移行', 26.510925529055104)","('実情', 947.7490489079524)"
854,"('バリアフリー', 59.124181514431314)","('違法', 46.00087371894044)","('再建', 50.47733642655114)","('国際社会', 46.51411923400835)","('議事録', 56.5646326772342)","('ニーズ', 49.749283179605754)","('利用者', 37.71703631619027)","('視察', 38.84412903710965)","('交流', 37.63343735677717)","('電話', 44.99540794717773)","('事務方', 37.03017237719825)","('恐縮', 48.96501677501979)","('案内', 56.18340845334322)","('やろう', 50.65362341990776)","('抑制', 48.63174039123384)","('情報提供', 46.85962017786585)","('拉致問題', 55.120373513845806)","('人事', 47.72697808720276)","('昭和', 43.607315035384495)","('部会', 45.11427470141551)","('当該', 26.478787687739317)","('与野党', 947.1399489801211)"
855,"('配置', 59.12247320112243)","('混乱', 45.96544669409036)","('設計', 50.438052891888994)","('体系', 46.40047915401631)","('開催', 56.52698182019623)","('製品', 49.67435641408547)","('大分', 37.69516013111716)","('工場', 38.83609117270228)","('全額', 37.604504497638644)","('森林', 44.973550652347434)","('選択肢', 37.02982720216832)","('医療機関', 48.91909960591611)","('現行法', 56.15469374888769)","('新設', 50.615780818900575)","('予測', 48.61226788632188)","('一般論', 46.789412393792766)","('保険', 55.10819211395613)","('枠組み', 47.62898822882285)","('代理', 43.48667981333477)","('互選', 45.10052711004178)","('協議会', 26.42878365022477)","('再建', 946.1753604600219)"
856,"('認可', 59.01963410869875)","('人材', 45.947431759444434)","('詳細', 50.436909711039334)","('退職', 46.3896679279452)","('世の中', 56.47162743197841)","('海洋', 49.55299376522382)","('ワクチン', 37.673014980728944)","('二つ目', 38.8225672692488)","('新規', 37.53077810508884)","('元気', 44.89706283233358)","('知恵', 36.96160250101275)","('情報収集', 48.911501426021026)","('経営者', 56.00982536866143)","('勉強', 50.609036745772215)","('民主党政権', 48.599099095931656)","('加算', 46.73744900262702)","('依頼', 55.05437113628938)","('ため池', 47.5877047139302)","('区域', 43.4538750480497)","('宿泊', 45.093646107193635)","('共通', 26.321337455606077)","('多様', 941.7332845411007)"
857,"('郵便', 59.01723892554864)","('円滑', 45.870817403147335)","('グループ', 50.40696351709634)","('辺り', 46.3486364455051)","('二階', 56.44023501240431)","('販売', 49.5337018464209)","('手当て', 37.66960589892605)","('構想', 38.7576268835575)","('経産省', 37.508924711878386)","('手当', 44.892121056251085)","('訪問', 36.938876470021484)","('経営者', 48.7947591208599)","('イノベーション', 55.97547108462283)","('処遇', 50.59348416525719)","('廃炉', 48.35821455060905)","('諮問', 46.73224108430274)","('金融', 55.02570633640491)","('知事', 47.58106533195258)","('現地', 43.4451388817061)","('小規模', 45.05860090852426)","('啓発', 26.266922345180646)","('かなり', 940.9030100603312)"
858,"('閣議決定', 58.964275991108686)","('ヨーロッパ', 45.8626125827418)","('責務', 50.317848340281245)","('石綿', 46.30807402968621)","('公共事業', 56.406370105581374)","('態度', 49.50213837394018)","('破綻', 37.662661666322656)","('撤回', 38.7240839819131)","('トップ', 37.44811776389393)","('福島原発', 44.86715786207414)","('真剣', 36.89536545886647)","('ジャパン', 48.742856341032905)","('低下', 55.93053400212654)","('政府見解', 50.527584016089826)","('借金', 48.35650886482846)","('大統領', 46.68876557659158)","('偏在', 54.96777465295867)","('職務', 47.55837596503333)","('枠組み', 43.398468697080325)","('公務員', 45.01115495000103)","('交流', 26.266376397103063)","('プロセス', 940.4732331645865)"
859,"('採決', 58.90005877417891)","('この国', 45.86142263591084)","('支出', 50.30180857249124)","('取得', 46.27836125807271)","('ガイドライン', 56.4018274198204)","('放置', 49.42898121321169)","('立法', 37.65273672198719)","('考慮', 38.705932693865236)","('人数', 37.40475275280101)","('議題', 44.84924948995266)","('御覧', 36.826957067959015)","('お互い', 48.72764821722244)","('概要', 55.86938523760291)","('廃炉', 50.5075365117829)","('科学技術', 48.28288323484261)","('インセンティブ', 46.67634897225012)","('ドイツ', 54.9455575010553)","('内閣官房', 47.517669979756)","('低下', 43.31211038249837)","('自己', 44.946551617794064)","('引下げ', 26.236283358426817)","('福島県', 938.5057680074824)"
860,"('独法', 58.87469044460421)","('職務', 45.83331965886083)","('活性化', 50.28272691794642)","('確定', 46.27428731430861)","('需要', 56.376128469479156)","('事業主', 49.410731399241484)","('合計', 37.528529080105734)","('co2', 38.67458547557232)","('保育所', 37.3313445395018)","('拉致問題', 44.84392020558489)","('苦労', 36.814252703210514)","('各省', 48.63074757542718)","('スケジュール', 55.8599387866641)","('新規', 50.35201415970039)","('減額', 48.12529788271535)","('流通', 46.61984560979019)","('責務', 54.84504901390123)","('構想', 47.5135663321446)","('競争', 43.2857779863803)","('予備費', 44.92114436199263)","('検討会', 26.233728998490076)","('デフレ', 938.4182026370471)"
861,"('用意', 58.817449097038065)","('窓口', 45.76241987787584)","('プラス', 50.27090208934595)","('一つ一つ', 46.27346873781863)","('円滑', 56.33357570184721)","('抜本', 49.396883543518115)","('案内', 37.45243999770389)","('要因', 38.67350862246808)","('主権', 37.30871975706543)","('実情', 44.82806297296369)","('大使', 36.79774881956262)","('鉄道', 48.59785054275892)","('御覧', 55.71126204583199)","('実質', 50.3153606522323)","('公的', 48.114093132440566)","('ホテル', 46.511876373830425)","('工夫', 54.73498077950888)","('利用者', 47.51307800962288)","('減免', 43.22236127558628)","('従事', 44.86208003970789)","('更新', 26.136672707110534)","('ネットワーク', 937.642640782028)"
862,"('性格', 58.766150206555935)","('国際法', 45.650188023804056)","('集団的自衛権', 50.24805272597039)","('失礼', 46.25533342996627)","('拉致問題', 56.333077165385)","('インターネット', 49.359472784248716)","('経営者', 37.407291650454574)","('周知', 38.6236401439726)","('取引', 37.301376504762274)","('移設', 44.81105213323485)","('speedi', 36.78391310498454)","('確立', 48.57795889265249)","('遺族', 55.56942170175348)","('表示', 50.254343408033364)","('津波', 48.04539241336291)","('情報公開', 46.35540934446814)","('承認', 54.726773960694345)","('受けて', 47.48515150774003)","('試算', 43.155805503203474)","('記憶', 44.78159757439159)","('結論', 26.067687417813787)","('借金', 937.5931722757439)"
863,"('答申', 58.732535076053736)","('記憶', 45.597701054008986)","('ヨーロッパ', 50.175467457237545)","('通常', 46.14481865545034)","('話題', 56.315443463306416)","('違法', 49.347829977731905)","('株式', 37.406378063447605)","('地方分権', 38.585569816185334)","('判決', 37.27332176447409)","('基本法', 44.76141138220702)","('育成', 36.75254068112224)","('記憶', 48.56682200083679)","('言い方', 55.56086784987104)","('関税', 50.113725544015814)","('区域', 48.029337952080674)","('早急', 46.34911573907328)","('疑惑', 54.724580434325446)","('沖縄県', 47.412508295330476)","('帰国', 43.10462762727634)","('co2', 44.7679100444324)","('北方領土', 26.061211297138588)","('認可', 936.7209952498125)"
864,"('受注', 58.72845352547987)","('大規模', 45.5467499769921)","('課税', 50.16393340523792)","('出資', 46.14237414835815)","('軽減', 56.29827646761175)","('自主', 49.32959421437567)","('法的', 37.39795258160287)","('辺野古', 38.50921738044991)","('資格', 37.229003909045005)","('金利', 44.714161906176166)","('結果的', 36.7453764335556)","('もっともっと', 48.52109420328009)","('職場', 55.48607923533227)","('公正', 50.089234596629666)","('gpif', 47.99535391777398)","('工夫', 46.30678939683411)","('購入', 54.60540769836979)","('復元', 47.41080077597961)","('グループ', 43.044592833916866)","('暮らし', 44.719959931702476)","('マスク', 26.05099820283947)","('マニフェスト', 936.4209440796116)"
865,"('配付', 58.69698388714597)","('支給', 45.462693112857465)","('人数', 50.14785627252397)","('事案', 46.12288897592962)","('交通', 56.295244804874145)","('食品', 49.14986440176466)","('港湾', 37.33163930791894)","('独自', 38.46166327706786)","('意欲', 37.10706928063409)","('原案', 44.680497368337726)","('用意', 36.72500778747517)","('効率', 48.475744433860235)","('トップ', 55.4365441202361)","('農村', 50.05635205274153)","('東京オリンピック', 47.95391743701406)","('書類', 46.20834478794951)","('面会', 54.55569511355903)","('高齢', 47.39303034174011)","('ないじゃないですか', 43.03247581801982)","('示し', 44.707770001806736)","('販売', 26.01259119265729)","('該当', 936.1672867065535)"
866,"('個人情報', 58.66370041774726)","('理事会', 45.395871952009486)","('議事録', 50.11508195676768)","('期限', 46.084326509441546)","('開示', 56.216616873935465)","('工場', 49.13868147406341)","('拉致', 37.32670293671346)","('投入', 38.45192790365719)","('大企業', 37.078554952019914)","('ベクレル', 44.670451058171274)","('名目', 36.72204922905544)","('おつもり', 48.36976221277496)","('東京電力', 55.41581799922962)","('加工', 49.83295682954807)","('話題', 47.93677116896082)","('いか', 46.097633965007326)","('高齢化', 54.55025029791133)","('大企業', 47.357884681786786)","('銀行', 42.975199081853155)","('円滑', 44.686942133976075)","('留学生', 26.0101168060828)","('デジタル', 936.0889330226914)"
867,"('差別', 58.60139121418085)","('国連憲章', 45.34530366750635)","('基盤', 50.04825716263872)","('担当大臣', 46.01917708813149)","('自立', 56.18246527363276)","('要素', 49.09950671048712)","('特許', 37.21247816575897)","('海上警備行動', 38.43790678023259)","('戸別', 37.060126959820366)","('ストレステスト', 44.66451899266785)","('構成', 36.62231991243682)","('設備', 48.189377422212615)","('生命', 55.40189011053863)","('特例', 49.78959273897461)","('国際社会', 47.89941807384439)","('戦闘', 46.064999602420535)","('活性化', 54.51842415429804)","('感想', 47.29387893208283)","('タクシー', 42.95010241047127)","('銀行', 44.62586314278726)","('人事', 25.998325322497664)","('幹部', 935.2732553853498)"
868,"('報酬', 58.54879691365175)","('重視', 45.33866259187722)","('苦労', 50.015487416270794)","('効率', 46.00900954177696)","('ドイツ', 56.116015512105434)","('出資', 49.0355051630944)","('重点', 37.18945779167551)","('運賃', 38.4363735688068)","('云々', 37.01319674021221)","('採用', 44.65137307735956)","('正確', 36.603317853928324)","('案内', 48.16444698627475)","('法曹', 55.34455494388816)","('ロシア', 49.78511107447501)","('後押し', 47.890147836393396)","('移行', 46.02321398441993)","('高校', 54.44472209166914)","('本部', 47.28248617754412)","('再建', 42.865238029352284)","('保全', 44.50159655183785)","('約束', 25.998307163381305)","('再開', 932.6421718619497)"
869,"('国際社会', 58.52981475924154)","('人数', 45.195495919358386)","('支持', 49.93387321720546)","('云々', 45.984586444080406)","('多様', 56.08523791829563)","('経済財政諮問会議', 49.03348892395887)","('報酬', 37.18634307446819)","('記憶', 38.39268201850761)","('最低', 36.96586474771714)","('カット', 44.56510066216974)","('グループ', 36.57995175471902)","('活躍', 48.14644738253726)","('基本方針', 55.24382671966009)","('総務大臣', 49.77059125637123)","('安倍内閣', 47.85145715234927)","('一連', 45.97187089877663)","('農薬', 54.44375676552216)","('迅速', 47.257851321624486)","('事務方', 42.75813382430918)","('副反応', 44.43915768249049)","('総額', 25.98892165598385)","('予想', 930.975393363969)"
870,"('早期', 58.517958439275816)","('厚労省', 45.05604938247956)","('船舶', 49.859386366536924)","('放置', 45.89961787119041)","('記憶', 55.974934893803045)","('広告', 48.876771457406406)","('知恵', 37.17916581221296)","('閣僚', 38.35873898966152)","('部長', 36.96067622712876)","('競争', 44.56013119613342)","('株式会社', 36.53588855417375)","('文言', 48.1092481053978)","('金融機関', 55.204624422425475)","('イラク', 49.76429504270485)","('地方交付税', 47.78132270976212)","('パラリンピック', 45.95808922153324)","('基本方針', 54.26200262057375)","('会派', 47.25674672881269)","('事業所', 42.74536126377042)","('セキュリティー', 44.409635482015815)","('円滑', 25.96557660384829)","('若者', 930.2166048932927)"
871,"('安全性', 58.395717493432585)","('返還', 45.00664951990964)","('開始', 49.72535266790596)","('圧力', 45.89434737040171)","('許可', 55.82520823413668)","('効率', 48.8644719793928)","('人数', 37.07481483409593)","('移管', 38.35173019957331)","('独立', 36.84606315866344)","('各党', 44.55307583300658)","('風評被害', 36.52072335966069)","('人件費', 48.08976350020968)","('発議', 55.20171430028147)","('話題', 49.71242271792008)","('迅速', 47.73977690784749)","('根本', 45.94920063007858)","('成功', 54.24599646340005)","('政権', 47.25174438233086)","('実情', 42.74143403397933)","('形成', 44.35170095538361)","('電話', 25.93562292512959)","('建物', 930.0874851249333)"
872,"('支出', 58.390325531235185)","('課税', 44.9966621196715)","('不当', 49.59655516879276)","('情勢', 45.852147457248726)","('重要性', 55.7944879947207)","('証拠', 48.86436432582613)","('無駄遣い', 37.019871879955346)","('ニーズ', 38.242765660412125)","('部隊', 36.772845616807146)","('内部被曝', 44.51223661423282)","('復興交付金', 36.506165977404784)","('全力', 48.0619866336477)","('報酬', 55.165546875760164)","('二つ目', 49.71153686574124)","('既存', 47.69791766892422)","('情勢', 45.93644146337775)","('事務所', 54.239838816872684)","('福島県', 47.238840101150444)","('北朝鮮', 42.712340026310336)","('営業', 44.32657355221893)","('議事録', 25.931616174048965)","('予測', 928.012018549249)"
